"site","date","amplitude_ratio","phase_lag","mean_offset","mean_ratio","R2_water","R2_air"
"Crane Creek",2023-04-22,0.530802225545086,2.31696612684041,8.63375001081475,-3.74164757599423,0.964740237255405,0.931022867182579
"Crane Creek",2023-04-23,0.523312890091057,2.80552540482159,7.6175000011474,-8.82903225954503,0.974399445740226,0.943417261506379
"Crane Creek",2023-04-24,0.420836912672956,3.08829309256439,5.38541666791993,4.46514745674019,0.988452110095555,0.831928862501623
"Crane Creek",2023-04-25,0.614684279953157,3.41047439241533,4.59791666766045,2.38456712759121,0.948309749280802,0.900108213047162
"Crane Creek",2023-04-26,0.553389198977483,3.26719015920746,4.7512500022511,2.28412162301129,0.97666101672574,0.944900447123216
"Crane Creek",2023-04-27,0.290939661582659,4.24823703688089,3.61916666705141,1.94825327462796,0.858610529025124,0.91262717667888
"Crane Creek",2023-04-28,0.48724615068882,2.63515295570656,3.84791666701658,1.99730021607341,0.966546086690126,0.900273564385665
"Crane Creek",2023-04-29,0.542348492352239,3.52788685112746,1.93458333124909,1.28625154091035,0.979274727872186,0.899432407359207
"Crane Creek",2023-04-30,0.59911240941144,2.384055948108,-0.116666666666669,0.987393066186402,0.980130627332118,0.894623183408442
"Crane Creek",2023-05-01,0.437566264864647,2.85424290335255,0.961666671449974,1.11386285213552,0.981496889354673,0.933280597215341
"Crane Creek",2023-05-02,0.391776988066685,3.16445246361226,1.20791667117185,1.14656218465102,0.968384190891625,0.953450519369664
"Crane Creek",2023-05-03,0.446271846147297,2.70808047638044,1.63124999474297,1.20529627607724,0.977243952589608,0.940117122028325
"Crane Creek",2023-05-04,0.32424729091402,3.31841362182172,2.78083334286104,1.49805970307811,0.911830745880638,0.946745778383358
"Crane Creek",2023-05-05,0.61457048183929,3.33051557724272,4.43416666556909,1.95701438797019,0.96708632003443,0.896544733482695
"Crane Creek",2023-05-06,0.594389485086597,3.43290273691225,4.8662499998889,2.44542079198389,0.986749259374882,0.905717830621395
"Crane Creek",2023-05-07,0.419877508700725,4.57181358464008,5.33083335187934,2.83295130746358,0.96713069234071,0.899799282294258
"Crane Creek",2023-05-08,0.41470058056672,3.09255597564309,4.13291667607031,1.98110781605201,0.980987065804775,0.883111342671435
"Crane Creek",2023-05-09,0.451671533656917,2.78057717942603,4.59083334794256,2.02779851073341,0.962939927728111,0.88164731365646
"Crane Creek",2023-05-10,0.449372605396839,4.12247721211624,3.61124999828678,1.71509900931914,0.977170398370465,0.909440054323836
"Crane Creek",2023-05-11,0.368432050634781,3.95295368297552,4.00374999957266,1.83921397363438,0.983925826563005,0.905139145802637
"Crane Creek",2023-05-12,0.46384015691551,2.93716850774095,3.61125001443315,1.63032727536911,0.956848206123494,0.950488291375712
"Crane Creek",2023-05-13,0.323361001611267,2.90785674249894,2.52500001354538,1.38574156795092,0.987818424686477,0.958013708975736
"Crane Creek",2023-05-14,0.496162477139166,2.87465037625853,1.4762500002396,1.17993905538725,0.97329644647822,0.91561147142137
"Crane Creek",2023-05-15,0.439110731308238,3.16998207654567,2.99000001137417,1.40888889044433,0.985682906192055,0.926548298677551
"Crane Creek",2023-05-16,0.708690586857947,3.06168306373899,1.9175,1.21717791411043,0.980079607750884,0.819327892565157
